tegdma,h (um),noz,sub,vf (mm/s),column,dep var,index,vs (mm/s),Period (s),StdEr period (s),Period (mm),StdEr period (mm),Top value,StdEr top value,Bot value,StdEr bot value,Amplitude,StdEr amplitude
25,150,FDTS,film,1.5,30,up mid Laplace pressure (Pa),7,6.5,0.37457144054653213,0.01799037061878977,2.434714363552459,0.11693740902213351,244.51603818850202,6.01726831918179,401.73936766406143,2.3795315365889387,157.3516474600999,7.394977093176826
25,150,FDTS,film,1.5,31,down right outer radius (mm),7,6.5,0.37457144054653213,0.02802758504718555,2.434714363552459,0.18217930280670608,-0.1710940677529449,0.0041299180537939465,-0.33334956746371736,0.010223567774246267,0.16891652726091005,0.008023099070379206
25,150,FDTS,film,1.5,32,down right inner radius (mm),7,6.5,0.37457144054654634,0.06577721336962335,2.434714363552551,0.42755188690255175,0.17804517187929442,0.0002809746421834882,0.17788589883557748,0.0002827835245237497,0.000180218132963067,0.000021096831135238967
25,150,FDTS,film,1.5,33,down right Laplace pressure (Pa),7,6.5,0.37457144054655345,0.008355094471504121,2.4347143635525974,0.054308114064776786,226.54264296693668,7.507724174405988,-6.072347583758339,4.934031100429613,226.35234797558098,6.554458445080224
25,150,FDTS,film,1.5,34,down left outer radius (mm),7,6.5,0.5508403537449169,0.0925557507780894,3.58046229934196,0.6016123800575811,2.315311457076472,0.8271304311971401,-5.136369904912795,0.9832280340722347,7.851509322957455,0.6588097154271308
25,150,FDTS,film,1.5,35,down left inner radius (mm),7,6.5,0.37457144054654634,0.06577721336962335,2.434714363552551,0.42755188690255175,0.17804517187929442,0.0002809746421834882,0.17788589883557748,0.0002827835245237497,0.000180218132963067,0.000021096831135238967
25,150,FDTS,film,1.5,36,down left Laplace pressure (Pa),7,6.5,0.7491428810930927,0.10509364143193246,4.869428727105102,0.683108669307561,193.0309670502859,23.46968397184539,250.5959238193178,1.8075739505580102,61.071229505400765,22.77983784097582
25,150,FDTS,film,1.5,37,down mid outer radius (mm),7,6.5,0.39660505469633733,0.06552181200022998,2.5779328555261927,0.42589177800149486,-1.6591310261639864,9.766986884387109,2.495022656555785,0.37869269178888415,4.22807920927106,9.678395049013284
25,150,FDTS,film,1.5,38,down mid inner radius (mm),7,6.5,0.37457144054654634,0.06577721336962335,2.434714363552551,0.42755188690255175,0.17804517187929442,0.0002809746421834882,0.17788589883557748,0.0002827835245237497,0.000180218132963067,0.000021096831135238967
25,150,FDTS,film,1.5,39,down mid Laplace pressure (Pa),7,6.5,0.37457144054653213,0.033998870363919485,2.434714363552459,0.22099265736547666,273.5863740250491,3.1662828683915625,202.38460174317805,3.0135498504122995,69.60326824751525,3.2960877508470983
25,150,FDTS,film,1.5,40,up right to left pressure (Pa),7,6.5,0.44067228299593353,0.06068175993696134,2.864369839473568,0.3944314395902487,-19.967001014617836,8.869737900113023,-163.90586209841035,8.149593578772604,148.07093624481502,9.148507079379778
25,150,FDTS,film,1.5,41,up right to mid pressure (Pa),7,6.5,0.40762186177123283,0.016325995312456775,2.6495421015130134,0.10611896953096904,117.18374517786609,6.798871991264917,245.3805196069891,3.725620135280853,122.96735955002174,7.8796159912637656
25,150,FDTS,film,1.5,42,up left to mid pressure (Pa),7,6.5,0.41863866884613543,0.061172576078070154,2.7211513474998803,0.397621744507456,393.07548961575105,8.707675309508458,183.15724397345377,12.60995654942707,206.0528463307263,12.69594122248998
25,150,FDTS,film,1.5,43,down right to left pressure (Pa),7,6.5,0.44067228299593353,0.05551129018918619,2.864369839473568,0.3608233862297103,227.25381043350393,6.252342968078511,0.,9.483058248084628,229.7660424105083,10.951385281901072
25,150,FDTS,film,1.5,44,down right to mid pressure (Pa),7,6.5,0.41863866884614254,0.16413552505147838,2.7211513474999265,1.0668809128346095,-160.30560971421747,27.84439253720017,256.35311743541905,7.692883623262596,420.77775216586815,25.87284656792132
25,150,FDTS,film,1.5,45,down left to mid pressure (Pa),7,6.5,0.5067731254453349,0.12749938482659048,3.294025315394677,0.8287460013728382,0.2034283769316403,3.5440596046795094,72.60637116363641,7.7769520162598855,84.67835975423345,7.233620232726961
25,150,FDTS,film,1.5,46,SL contact angle (deg),7,6.5,0.37457144054654634,0.06335761662088378,2.434714363552551,0.41182450803574455,150.04537535226035,0.5467141045247976,169.7965871529185,1.0829163035773703,17.00179995437597,1.1671159877401345
25,150,FDTS,film,1.5,47,BL contact angle (deg),7,6.5,0.37457144054656055,0.020359419882652014,2.4347143635526436,0.1323362292372381,3.5376915631148806,0.06687953388119043,1.5179040575617688,0.07570932204785609,2.0351649439295167,0.05196583352290506
25,150,FDTS,film,1.5,48,SiL contact angle (deg),7,6.5,0.40762186177123283,0.049216026357942415,2.6495421015130134,0.3199041713266257,29.627809183273875,0.14058954504507687,23.927967027098784,0.24392478473195828,6.18017717561111,0.2950667432929967
25,150,FDTS,film,1.5,49,SL contact point channel dist (mm),7,6.5,0.39660505469634444,0.013940972514334645,2.577932855526239,0.0906163213431752,0.034860758374357384,0.01566608458692849,-0.7518925855968003,0.027132911782546155,0.7867533439711576,0.020579556391850433
25,150,FDTS,film,1.5,50,SiL contact point nozzle dist (mm),7,6.5,0.37457144054656055,0.02548071249282661,2.4347143635526436,0.16562463120337295,0.23537933885906692,0.002570447971525,0.19350361759773183,0.0031001665413602363,0.039095803167051316,0.0012479335063611465
25,150,FDTS,film,1.5,51,Laplace pressure upstream to downstream,7,6.5,0.39660505469633733,0.014622805420290354,2.5779328555261927,0.0950482352318873,17.730920091549223,5.371396518608665,405.50129777139307,7.212084954348562,381.0145394434237,11.114564374804264
25,150,FDTS,film,1.5,4,up right noz dist (mm),8,6.5,0.6830420386436913,0.23836461728433092,4.439773251183993,1.549370012348151,0.1164282908166947,0.001489558293735675,0.03593740216442632,0.004199497941473431,0.07996362681812968,0.005341741907025709
25,150,FDTS,film,1.5,5,up right sub dist (mm),8,6.5,0.5398235466700214,0.18843651922889199,3.508853053355139,1.2248373749877979,0.03150763758628005,0.009251693769256417,0.12416878311887848,0.006309333201521305,0.08771034221996399,0.005563206561034089
25,150,FDTS,film,1.5,6,up right Si dist (mm),8,6.5,0.39660505469633733,0.044396759827896246,2.5779328555261927,0.2885789388813256,0.7313964812032104,0.003949369353389323,0.5512723141901004,0.017496136370172274,0.17381759924944173,0.015235753429371947
