x,y,position
2.181327801,-30,-122.3020338
4.362655602,-30,-122.3020338
6.543983402,-30,-122.3020338
8.725311203,-30,-117.7278864
10.906639,-30,-117.7278864
13.0879668,-30,-126.8761811
15.26929461,-30,-126.8761811
17.45062241,-30,-131.4503285
19.63195021,-30,-131.4503285
21.81327801,-30,-131.4503285
23.99460581,-30,-126.8761811
26.17593361,-30,-131.4503285
28.35726141,-30,-136.0244758
30.53858921,-30,-131.4503285
32.71991701,-30,-145.1727705
34.90124481,-30,-140.5986232
37.08257261,-30,-140.5986232
39.26390041,-30,-140.5986232
41.44522822,-30,-149.7469179
43.62655602,-30,-158.8952126
45.80788382,-30,-149.7469179
47.98921162,-30,-163.4693599
50.17053942,-30,-145.1727705
52.35186722,-30,-145.1727705
54.53319502,-30,-145.1727705
56.71452282,-30,-163.4693599
58.89585062,-30,-149.7469179
61.07717842,-30,-149.7469179
63.25850622,-30,-149.7469179
65.43983402,-30,-149.7469179
67.62116183,-30,-158.8952126
69.80248963,-30,-154.3210652
71.98381743,-30,-154.3210652
74.16514523,-30,-154.3210652
76.34647303,-30,-158.8952126
78.52780083,-30,-158.8952126
80.70912863,-30,-158.8952126
82.89045643,-30,-168.0435073
85.07178423,-30,-158.8952126
87.25311203,-30,-158.8952126
89.43443983,-30,-158.8952126
91.61576763,-30,-158.8952126
93.79709544,-30,-163.4693599
0,-35,-108.5795917
2.577932856,-35,-113.1537391
5.155865711,-35,-117.7278864
7.733798567,-35,-126.8761811
10.31173142,-35,-117.7278864
12.88966428,-35,-126.8761811
15.46759713,-35,-122.3020338
18.04552999,-35,-122.3020338
20.62346284,-35,-122.3020338
23.2013957,-35,-126.8761811
25.77932856,-35,-131.4503285
28.35726141,-35,-126.8761811
30.93519427,-35,-131.4503285
33.51312712,-35,-131.4503285
36.09105998,-35,-136.0244758
38.66899283,-35,-140.5986232
41.24692569,-35,-136.0244758
43.82485854,-35,-140.5986232
46.4027914,-35,-140.5986232
48.98072425,-35,-145.1727705
51.55865711,-35,-140.5986232
54.13658997,-35,-145.1727705
56.71452282,-35,-145.1727705
59.29245568,-35,-149.7469179
61.87038853,-35,-149.7469179
64.44832139,-35,-154.3210652
67.02625424,-35,-154.3210652
69.6041871,-35,-154.3210652
72.18211995,-35,-158.8952126
74.76005281,-35,-158.8952126
77.33798567,-35,-163.4693599
79.91591852,-35,-158.8952126
82.49385138,-35,-158.8952126
85.07178423,-35,-158.8952126
87.64971709,-35,-163.4693599
90.22764994,-35,-163.4693599
92.8055828,-35,-158.8952126
0,-40,-108.5795917
2.577932856,-40,-104.0054444
5.155865711,-40,-108.5795917
7.733798567,-40,-117.7278864
10.31173142,-40,-117.7278864
12.88966428,-40,-117.7278864
15.46759713,-40,-117.7278864
18.04552999,-40,-117.7278864
20.62346284,-40,-122.3020338
23.2013957,-40,-126.8761811
25.77932856,-40,-122.3020338
28.35726141,-40,-122.3020338
30.93519427,-40,-131.4503285
33.51312712,-40,-131.4503285
36.09105998,-40,-140.5986232
38.66899283,-40,-131.4503285
41.24692569,-40,-136.0244758
